"Sex","Race/Ethnicity","Age Group","First Year","Last Year","Cause of Injury","Age in Years","Year","Injuries","Population","records","cv"
"F","N","All","2001","2017","Assault Other Specified","15","2005","127",".","1","1"
"F","A","All","2001","2017","Assault Other Specified","15","2006","300","2,146,323","3","0.661"
"F","W","All","2001","2017","Assault Other Specified","15","2006","0","1,287,849",".","0"
"F","B","All","2001","2017","Assault Other Specified","15","2006","0","368,869",".","0"
"F","H","All","2001","2017","Assault Other Specified","15","2006","0","373,512",".","0"
"F","O","All","2001","2017","Assault Other Specified","15","2006","0","116,093",".","0"
"F","N","All","2001","2017","Assault Other Specified","15","2006","300",".","3","0.661"
"F","A","All","2001","2017","Assault Other Specified","15","2007","21","2,127,798","1","1"
"F","W","All","2001","2017","Assault Other Specified","15","2007","21","1,255,742","1","1"
"F","B","All","2001","2017","Assault Other Specified","15","2007","0","367,331",".","0"
"F","H","All","2001","2017","Assault Other Specified","15","2007","0","387,038",".","0"
"F","O","All","2001","2017","Assault Other Specified","15","2007","0","117,687",".","0"
"F","A","All","2001","2017","Assault Other Specified","15","2008","32","2,101,218","2","0.746"
"F","W","All","2001","2017","Assault Other Specified","15","2008","0","1,221,520",".","0"
"F","B","All","2001","2017","Assault Other Specified","15","2008","0","364,802",".","0"
"F","H","All","2001","2017","Assault Other Specified","15","2008","32","395,955","2","0.746"
"F","O","All","2001","2017","Assault Other Specified","15","2008","0","118,941",".","0"
"F","A","All","2001","2017","Assault Other Specified","15","2009","8","2,074,716","1","1"
"F","W","All","2001","2017","Assault Other Specified","15","2009","0","1,192,374",".","0"
"F","B","All","2001","2017","Assault Other Specified","15","2009","8","357,860","1","1"
"F","H","All","2001","2017","Assault Other Specified","15","2009","0","404,387",".","0"
"F","O","All","2001","2017","Assault Other Specified","15","2009","0","120,095",".","0"
"F","A","All","2001","2017","Assault Other Specified","15","2010","25","2,065,798","1","1"
"F","W","All","2001","2017","Assault Other Specified","15","2010","0","1,182,000",".","0"
"F","B","All","2001","2017","Assault Other Specified","15","2010","0","350,870",".","0"
"F","H","All","2001","2017","Assault Other Specified","15","2010","0","411,264",".","0"
"F","O","All","2001","2017","Assault Other Specified","15","2010","0","121,664",".","0"
"F","N","All","2001","2017","Assault Other Specified","15","2010","25",".","1","1"
"F","A","All","2001","2017","Assault Other Specified","15","2011","538","2,029,440","6","1"
"F","W","All","2001","2017","Assault Other Specified","15","2011","0","1,157,858",".","0"
"F","B","All","2001","2017","Assault Other Specified","15","2011","90","334,096","1","1"
"F","H","All","2001","2017","Assault Other Specified","15","2011","449","413,068","5","1"
"F","O","All","2001","2017","Assault Other Specified","15","2011","0","124,418",".","0"
"F","A","All","2001","2017","Assault Other Specified","15","2012","0","2,027,072",".","0"
"F","W","All","2001","2017","Assault Other Specified","15","2012","0","1,148,506",".","0"
"F","B","All","2001","2017","Assault Other Specified","15","2012","0","335,268",".","0"
"F","H","All","2001","2017","Assault Other Specified","15","2012","0","417,465",".","0"
"F","O","All","2001","2017","Assault Other Specified","15","2012","0","125,833",".","0"
"F","A","All","2001","2017","Assault Other Specified","15","2013","9","2,027,885","1","1"
"F","W","All","2001","2017","Assault Other Specified","15","2013","9","1,139,681","1","1"
"F","B","All","2001","2017","Assault Other Specified","15","2013","0","337,158",".","0"
"F","H","All","2001","2017","Assault Other Specified","15","2013","0","423,760",".","0"
"F","O","All","2001","2017","Assault Other Specified","15","2013","0","127,286",".","0"
"F","A","All","2001","2017","Assault Other Specified","15","2014","119","2,035,547","3","0.769"
"F","W","All","2001","2017","Assault Other Specified","15","2014","0","1,137,075",".","0"
"F","B","All","2001","2017","Assault Other Specified","15","2014","111","337,245","2","0.823"
"F","H","All","2001","2017","Assault Other Specified","15","2014","8","433,324","1","1"
"F","O","All","2001","2017","Assault Other Specified","15","2014","0","127,903",".","0"
